,address,city,state,zip
0,2483 W Southcross San Antonio,,Texas,78211
1,766 East University Dr Auburn,,Alabama,36830
2,1 Cedar Grove Lane Grand Marais,,Minnesota,55604
3,1000 Williford Rd Kountze,,Texas,77625
4,9525 Philips Hwy Jacksonville,,Florida,32256
5,P.O. Box 357Marked Tree,,Arkansas,72365
6,50 Parker St. E. Longmeadow,,Massachusetts,01162
7,1508 Hardy Street Hattiesburg,,Mississippi,39401
8,203 E. Cross St Dongola,,Illinois,62926
9,82 School Street Betsy Layne,,Kentucky,41605
10,131 Chestnut Street Clermont,,Florida,34711
11,P.O. Box 4906Thousand Oaks,,California,91359
12,3550 Jodeco Rd Jonesboro,,Georgia,30236
13,498 Tuscan Avenue #156 Hattiesburg,,Mississippi,39401
14,20752 State Highway 27 Sparta,,Wisconsin,54656
15,602 10th Street Floresville,,Texas,78114
16,P.O. Box 552North Liberty,,Iowa,52317
17,3022 W. Fontanero Colorado Springs,,Colorado,80904
18,1019 Central Street Oxford,,Nebraska,68967
19,2879 Rainbow Lake Dr Lakeside,,Arizona,85929
20,400 W. Meyer Blvd Kansas City,,Missouri,64113
21,1109 SE 3rd Street Aledo,,Illinois,61231
22,2598 Liberty Road Lexington,,Kentucky,40509
23,1129 W Broadway McLoud,,Oklahoma,74851
24,1612 Main St. Cincinnati,,Ohio,45202
25,316 N. Main Bolivar,,Missouri,65613
26,1008 May street Savannah,,Georgia,31415
27,3400 Maryville Rd Granite City,,Illinois,62040
28,120 N. Main Street Owensville,,Indiana,47665
29,199 CR 1042 Center,,Texas,75670
30,1350 Ebenezer Church Road Thompsonville,,Illinois,62890
31,2051 NW 61st Street Seattle,,Washington,98107
32,2520 Maywood Ave Pekin,,Illinois,61554
33,3210 Proffit Rd Charlottesville,,Virginia,22911
34,534 Old Robstown Rd. Corpus Christi,,Texas,78404
35,5015 S. Merrill Rd Merrill,,Michigan,48637
36,852 Hwy 1084 Baxter,,Kentucky,40806
37,901 Williams Rockwall,,Texas,75087
38,P.O. Box 710Washington,,Georgia,30673
39,1111 Peace Church Road Wetumpka,,Alabama,36093
40,705 Grey Av. Evanston,,Illinois,60202
41,309 E. Charles Pauls Valley,,Oklahoma,73075
42,1348 Hwy 92 South Fayetteville,,Georgia,30215
43,707 E. Bayview Blvd. Norfolk,,Virginia,23503
44,P.O. Box 94Bairdford,,Pennsylvania,15006
45,1315 Carnes Road Boaz,,Alabama,35957
46,256 Creekmore DRive Nashville,,Tennessee,37214
47,4478 Hampshire Dr. Williamsburg,,Michigan,49690
48,1995 Hartford Rd Newport,,Tennessee,37821
49,205 N.E. St. Carthage,,Indiana,46115
50,209 Rolston Road Irving,,Texas,75060
51,9675 Kingsport Hwy. Chuckey,,Tennessee,37641
52,625 Lake St Hobart,,Indiana,46342
53,2128 Reed Rd Starkville,,Mississippi,39759
54,3662 W. Charleston Ave Glendale,,Arizona,85308
55,110 French Way Athens,,Alaska,35611
56,9435 W. Tonopah Peoria,,Arizona,85382
57,13633 183rd  Cerritos,,California,90703
58,6710 Goshen Rd Goshen,,Ohio,45122
59,P.O. Box 347Pipersville,,Pennsylvania,18947
60,3040 S. 51st Street Kansas City,,Kansas,66106
61,7532 Lankershim Blvd. North Hollywood,,California,91605
62,386 Beamer Avenue Woodland,,California,95695
63,12930 E County Rd 1700N Arcola,,Illinois,61910
64,P.O. Box 109Jennings,,Louisiana,70546
65,701 7th Street Etowah,,Tennessee,37331
66,7618 W STATE RD 235 Alachua,,Florida,32615
67,13521 N Mill Road Spokane,,Washington,99208
68,801 Darley Road Wilmington,,Delaware,19810
69,1917 California Everett,,Washington,98270
70,9644 Cedar STreet Bellflower,,California,90706
71,1201 NNW Loop 323 Tyler,,Texas,75702
72,333 NW 5th Oklahoma City,,Oklahoma,73102
73,261 Allen Chapel Road South Shore,,Kentucky,41175
74,P.O. Box 2834Columbus,,Mississippi,39704
75,5455 W. Willoughby Road Lansing,,Michigan,48911
76,1525 VZ CR 4510 Ben Wheeler,,Texas,75754
77,615 N Water Ave Idaho Falls,,Idaho,83402
78,909 Watervliet Ave Dayton,,Ohio,45420
79,405 S Bowie Weatherford,,Texas,76086
80,2001 Hardy Street Hattiesburg,,Mississippi,39401
81,8090 Tandy Road Lanesville,,Indiana,47136
82,707 J. St. S.W. Quincy,,Washington,98848
83,1313 Commercial St Bellingham,,Washington,98225
84,211 W B-2 Roseville,,Minnesota,55113
85,3981 Hwy 43 E Henderson,,Texas,75652
86,2102 SW Pinoak St Bentonville,,Arkansas,72712
87,P.O. Box 2043Broken Arrow,,Oklahoma,74013
88,0000 0000,,California,00000
89,15303 E Sprague Ave Spokane Valley,,Washington,99037
90,9745 Fireside Dr. Glen Allen,,Virginia,23060
91,995 E. Lassen Ave. Chico,,California,95973
92,P.O. Box 85Franklin,,Ohio,45005
93,1100 N Compton Av St Louis,,Missouri,63106
94,4800 Dogwood St Everett,,Washington,98203
95,95 East Oak Street Oxford,,Alabama,36203
96,12626 First Ave Victorville,,California,92395
97,6115 Winegard Rd Orlando,,Florida,32809
98,1110 Kabel Drive New Orleans,,Louisiana,70131
99,11404 Big Pool Rd Big Pool,,Maryland,21711
100,667 Charles New Iberia,,Louisiana,70560
101,200 S. Hwy 30 Sweetwater,,Oklahoma,73666
102,206 Mager Ln. Hutto,,Texas,78634
