0,0.13231,people going think get want know say one would said country make let way things right come back time lot,Unknown1
1,0.01774,NUM nominations congressional record received senate john michael james david appeared beginning army ending robert nomination william united states officer,Nominations
2,0.01864,small business businesses NUM company jobs economic new employees owners economy companies help program owned capital sba community development growth,SmallBusinesses
3,0.02229,united states world international countries nations foreign NUM nato peace africa economic global europe security president also people support new,InternationalAid
4,0.02808,texas carolina north south speaker georgia state states dakota district united houston johnson pledge tennessee whereas one allegiance house america,StateNames
5,0.03371,NUM would bill legislation program federal act states cost benefits costs current provide state year congress time government receive however,Procedural1
6,0.0571,bill senate house vote NUM would majority floor amendments committee time debate passed get bills leader work legislation conference last,Procedural2
7,0.01475,trade american united states china agreement jobs world countries foreign free products agreements export industry companies market country workers america,ForeignTrade
8,0.01473,water NUM river species corps coast project fish wildlife state conservation projects resources environmental great coastal lakes act ocean bay,WaterConservation
9,0.03304,jobs economy economic NUM people need job unemployment american work americans country help families america create workers growth back new,JobsEconomy
10,0.04666,money NUM government going people billion federal dollars get bill pay would want one spend think let say cost taxpayers,FederalBudget
11,0.01737,police NUM fire officers enforcement law officer department lives safety families speaker chief firefighters day emergency community service today first,LawEnforcement
12,0.03483,new NUM city state district york local county virginia jersey community states communities west residents columbia mayor building pennsylvania area,Unknown2
13,0.08509,bill legislation act support important also work today bipartisan congress colleagues committee forward help thank need many ensure working senate,BipartisanProcedure
14,0.01391,NUM church community speaker years today service catholic pastor baptist NUMth school reverend work rise ohio first mississippi cleveland mrs,Church
15,0.01791,farmers farm food agriculture disaster NUM agricultural program rural hurricane producers state help dairy family crop assistance usda country flood,Agriculture
16,0.01483,veterans care health NUM mental service services affairs veteran military benefits medical disabilities families nation support disabled women disability provide,VeteransServices
17,0.03652,president NUM administration said bush clinton congress house senate secretary states obama white united reagan would new state vice washington,President
18,0.07995,amendment time speaker chairman support bill would balance yield urge colleagues gentleman thank madam may reserve back consume rise vote,Procedural
19,0.02903,children child families program NUM care programs welfare housing services work parents family help support people income need food assistance,Childcare
20,0.01032,women abortion woman health birth abortions child NUM family medical children baby mother procedure pregnancy right would bill babies unborn,Abortion
21,0.03387,work staff thank years congress house service committee office members great many also well member worked people leadership issues served,GovernmentWork
22,0.07405,NUM percent year million years billion last one increase since number per rate average two less increased total ago according,Numbers
23,0.05889,speaker american people republican republicans democrats congress house americans government colleagues let majority want vote would today even president america,Reflexive
24,0.00761,information intelligence NUM law government privacy act court united american americans terrorist records foreign security terrorists states surveillance terrorism fisa,Intelligence
25,0.01955,NUM land national lands forest park state indian native service alaska public colorado federal area acres management tribal interior resources,PublicLand
26,0.02936,education school students schools children college teachers high student program public NUM programs parents teacher educational state higher local help,Education
27,0.06005,nation people america world today day country american great americans one many speaker every must freedom lives history men time,AmericaFreedom
28,0.00847,drug drugs NUM crime use enforcement abuse treatment law prison state addiction states colombia justice juvenile problem marijuana opioid prevention,IllegalDrugs
29,0.03841,NUM community service county years speaker california association board served today rise member also work san award president leadership public,CommunityService
30,0.03975,federal government agencies information department agency public report office system management process programs congress data would also private administration national,FederalAdministrative
31,0.01027,nuclear weapons iran treaty missile states united NUM defense russia sanctions threat security korea would president administration north world agreement,NuclearWeapons
32,0.08606,senator amendment president senate would senators time floor thank colleague yield vote distinguished ask friend speak amendments mccain minutes new,Senate
