,verse,count,proportion
13,UNKNOWN,92915,0.28459019807833086
79,john 3:16,1653,0.00506298872543164
412,john 14:6,986,0.0030200283625381715
44,acts 1:8,889,0.0027229261808280267
199,romans 6:23,775,0.002373754544591362
6,romans 3:23,761,0.002330873817334228
18,john 10:10,740,0.002266552726448526
327,romans 8:28,644,0.001972513453828177
194,romans 5:8,602,0.001843871272056774
15,1 john 1:9,583,0.0017856759993506632
108,hebrews 11:6,516,0.0015804610903343778
651,matthew 6:33,503,0.0015406432721670389
10,acts 4:12,496,0.0015192029085384718
456,2 corinthians 5:17,475,0.0014548818176527702
248,acts 2:38,457,0.0013997494540364547
576,john 16:33,456,0.0013966865449466595
885,john 1:12,435,0.001332365454060958
239,romans 12:2,433,0.0013262396358813674
650,romans 10:17,421,0.0012894847268038238
210,john 1:14,408,0.0012496669086364848
68,james 5:16,403,0.0012343523631875083
258,philippians 4:13,383,0.0011730941813916022
297,2 corinthians 5:21,382,0.0011700312723018067
719,romans 12:1,376,0.001151653817763035
520,hebrews 4:12,371,0.0011363392723140586
83,hebrews 13:5,365,0.0011179618177752865
219,john 1:1,361,0.0011057101814161054
4,2 peter 3:9,359,0.0010995843632365147
1354,luke 19:10,354,0.0010842698177875383
635,galatians 2:20,353,0.0010812069086977428
150,john 1:29,334,0.001023011635991632
328,john 14:27,323,0.0009893196360038837
355,1 peter 5:8,303,0.0009280614542079776
27,jeremiah 29:11,303,0.0009280614542079776
125,hebrews 11:1,298,0.0009127469087590011
26,ephesians 2:10,295,0.0009035581814896152
810,john 8:12,294,0.0009004952723998199
171,2 timothy 3:16,291,0.000891306545130434
1353,james 4:7,289,0.0008851807269508433
1523,philippians 1:6,284,0.0008698661815018669
352,john 8:44,283,0.0008668032724120715
110,hebrews 12:2,282,0.0008637403633222762
1388,james 1:17,276,0.0008453629087835044
1421,matthew 28:19,276,0.0008453629087835044
1029,john 15:5,275,0.0008422999996937091
706,romans 10:9,274,0.0008392370906039138
48,romans 1:16,271,0.0008300483633345278
1039,luke 23:34,269,0.0008239225451549373
112,1 peter 2:9,266,0.0008147338178855514
853,matthew 5:16,265,0.000811670908795756
97,philippians 4:19,264,0.0008086079997059607
1341,1 corinthians 10:13,263,0.0008055450906161655
1423,john 14:15,258,0.0007902305451671889
1383,romans 8:1,254,0.0007779789088080077
1320,acts 2:42,253,0.0007749159997182123
315,hebrews 4:15,251,0.0007687901815386218
462,mark 10:45,249,0.0007626643633590312
384,hebrews 9:27,249,0.0007626643633590312
534,hebrews 10:25,249,0.0007626643633590312
330,matthew 11:28,246,0.0007534756360896452
711,mark 16:15,242,0.000741223999730464
1400,james 1:5,238,0.0007289723633712828
212,matthew 28:20,238,0.0007289723633712828
1010,john 3:3,234,0.0007167207270121016
1184,romans 5:1,233,0.0007136578179223063
319,john 15:13,233,0.0007136578179223063
514,james 1:22,231,0.0007075319997427157
628,isaiah 9:6,231,0.0007075319997427157
320,john 13:35,230,0.0007044690906529203
113,isaiah 64:6,229,0.000701406181563125
116,genesis 1:1,225,0.0006891545452039438
2981,matthew 6:24,223,0.0006830287270243532
22,ephesians 2:8,223,0.0006830287270243532
1222,luke 9:23,222,0.0006799658179345579
12,matthew 16:18,216,0.0006615883633957861
107,hebrews 13:8,215,0.0006585254543059907
1801,john 16:13,214,0.0006554625452161954
137,2 timothy 2:15,214,0.0006554625452161954
980,galatians 5:22,209,0.0006401479997672189
549,genesis 3:15,209,0.0006401479997672189
842,micah 5:2,207,0.0006340221815876283
1327,john 14:26,207,0.0006340221815876283
211,isaiah 7:14,206,0.000630959272497833
907,hebrews 12:1,205,0.0006278963634080377
1407,philippians 4:8,203,0.000621770545228447
2217,1 john 1:7,200,0.0006125818179590611
1589,john 8:32,200,0.0006125818179590611
1715,hebrews 4:16,199,0.0006095189088692658
86,philippians 4:6,198,0.0006064559997794706
1814,john 13:34,196,0.0006003301815998799
1541,psalm 119:105,195,0.0005972672725100847
356,genesis 1:26,193,0.000591141454330494
1332,1 john 3:2,193,0.000591141454330494
2920,john 11:25,193,0.000591141454330494
105,2 chronicles 7:14,192,0.0005880785452406987
1713,1 peter 3:15,190,0.0005819527270611081
1845,john 6:35,190,0.0005819527270611081
63,ephesians 6:12,188,0.0005758269088815175
652,john 15:16,188,0.0005758269088815175
1248,romans 5:12,187,0.0005727639997917222
121,revelation 3:20,186,0.0005697010907019269
1211,joshua 1:8,183,0.000560512363432541
678,1 john 4:4,182,0.0005574494543427456
552,romans 8:29,180,0.0005513236361631551
940,titus 3:5,180,0.0005513236361631551
1406,psalm 119:11,179,0.0005482607270733597
53,hebrews 7:25,178,0.0005451978179835644
5,matthew 1:21,176,0.0005390719998039738
768,1 peter 5:7,175,0.0005360090907141785
76,romans 10:13,174,0.0005329461816243832
541,romans 8:31,174,0.0005329461816243832
2516,john 4:24,173,0.0005298832725345879
298,isaiah 53:5,170,0.000520694545265202
3106,2 timothy 1:7,170,0.000520694545265202
656,john 19:30,169,0.0005176316361754067
455,1 peter 2:24,169,0.0005176316361754067
673,john 5:24,169,0.0005176316361754067
950,hebrews 1:3,167,0.000511505817995816
24,isaiah 53:6,167,0.000511505817995816
92,james 4:4,166,0.0005084429089060208
1241,2 corinthians 12:9,165,0.0005053799998162255
1519,1 john 3:1,164,0.0005023170907264301
1068,acts 20:28,163,0.0004992541816366349
1456,matthew 28:18,162,0.0004961912725468396
740,john 3:36,158,0.0004839396361876583
2785,jeremiah 17:9,158,0.0004839396361876583
3611,genesis 1:27,156,0.0004778138180080677
388,joshua 24:15,156,0.0004778138180080677
132,hebrews 9:22,155,0.00047475090891827237
122,acts 16:31,155,0.00047475090891827237
580,james 1:12,154,0.0004716879998284771
1356,galatians 5:16,154,0.0004716879998284771
755,1 john 4:19,154,0.0004716879998284771
524,colossians 3:16,154,0.0004716879998284771
28,proverbs 3:5,153,0.0004686250907386818
3000,malachi 3:10,153,0.0004686250907386818
1225,james 4:6,152,0.00046556218164888646
1929,romans 8:26,152,0.00046556218164888646
815,romans 8:18,152,0.00046556218164888646
23,romans 3:10,151,0.0004624992725590912
104,romans 12:3,150,0.00045943636346929586
654,james 4:2,150,0.00045943636346929586
443,james 1:27,149,0.00045637345437950054
460,ephesians 1:7,149,0.00045637345437950054
329,philippians 4:7,149,0.00045637345437950054
1576,james 2:19,148,0.00045331054528970527
1580,john 17:17,147,0.00045024763619990995
677,luke 6:38,147,0.00045024763619990995
591,hebrews 12:14,147,0.00045024763619990995
544,1 corinthians 10:31,146,0.0004471847271101146
1061,james 1:2,145,0.00044412181802031935
1040,ephesians 4:32,145,0.00044412181802031935
0,ephesians 3:20,145,0.00044412181802031935
1595,proverbs 22:6,144,0.00044105890893052403
536,matthew 5:6,144,0.00044105890893052403
822,matthew 4:4,143,0.0004379959998407287
1620,james 4:8,143,0.0004379959998407287
1167,2 corinthians 3:18,143,0.0004379959998407287
637,john 10:11,142,0.00043493309075093344
325,john 15:11,142,0.00043493309075093344
20,galatians 5:1,141,0.0004318701816611381
74,1 thessalonians 5:17,141,0.0004318701816611381
1867,acts 2:41,141,0.0004318701816611381
502,1 john 4:8,140,0.0004288072725713428
518,proverbs 14:12,140,0.0004288072725713428
1797,romans 8:9,140,0.0004288072725713428
1444,isaiah 1:18,139,0.0004257443634815475
1638,acts 3:19,138,0.0004226814543917522
226,john 17:3,138,0.0004226814543917522
183,luke 22:42,138,0.0004226814543917522
1108,psalm 16:11,137,0.0004196185453019569
875,galatians 6:1,137,0.0004196185453019569
64,galatians 6:9,137,0.0004196185453019569
294,james 4:17,137,0.0004196185453019569
1412,genesis 2:7,137,0.0004196185453019569
1596,ephesians 5:25,135,0.0004134927271223663
1586,romans 1:17,135,0.0004134927271223663
405,john 14:9,135,0.0004134927271223663
1113,isaiah 40:31,135,0.0004134927271223663
1297,romans 5:5,134,0.00041042981803257096
365,isaiah 59:2,133,0.0004073669089427757
437,galatians 4:4,132,0.00040430399985298037
869,ephesians 5:18,131,0.00040124109076318504
31,john 8:36,131,0.00040124109076318504
1563,luke 23:43,130,0.0003981781816733898
824,colossians 3:17,130,0.0003981781816733898
2637,2 corinthians 4:4,129,0.00039511527258359445
2581,john 8:31,129,0.00039511527258359445
697,titus 2:13,129,0.00039511527258359445
4919,galatians 6:7,129,0.00039511527258359445
800,matthew 25:21,128,0.0003920523634937991
1506,acts 10:38,128,0.0003920523634937991
886,romans 8:37,128,0.0003920523634937991
528,john 14:12,127,0.00038898945440400386
2888,john 6:44,126,0.00038592654531420853
762,proverbs 4:23,125,0.0003828636362244132
2512,hebrews 13:17,125,0.0003828636362244132
1319,acts 1:14,125,0.0003828636362244132
336,1 john 3:8,125,0.0003828636362244132
185,micah 6:8,124,0.00037980072713461794
1878,galatians 3:13,124,0.00037980072713461794
471,luke 24:49,124,0.00037980072713461794
1583,colossians 1:16,124,0.00037980072713461794
1196,philippians 2:5,123,0.0003767378180448226
1226,james 4:14,123,0.0003767378180448226
1837,romans 8:17,123,0.0003767378180448226
1424,galatians 5:13,123,0.0003767378180448226
1808,1 corinthians 6:19,123,0.0003767378180448226
2004,john 14:21,123,0.0003767378180448226
2773,genesis 2:18,122,0.0003736749089550273
324,philippians 4:4,122,0.0003736749089550273
58,james 4:3,122,0.0003736749089550273
1044,james 1:19,121,0.000370611999865232
778,romans 6:4,121,0.000370611999865232
470,john 20:21,121,0.000370611999865232
2890,john 6:37,121,0.000370611999865232
596,matthew 20:28,120,0.0003675490907754367
2255,psalm 46:10,120,0.0003675490907754367
2539,zechariah 4:6,120,0.0003675490907754367
2234,john 3:17,120,0.0003675490907754367
515,john 10:27,119,0.0003644861816856414
497,hebrews 13:15,119,0.0003644861816856414
322,luke 10:27,118,0.0003614232725958461
2469,genesis 2:24,118,0.0003614232725958461
503,matthew 7:7,117,0.0003583603635060508
55,john 15:7,117,0.0003583603635060508
710,philippians 2:3,117,0.0003583603635060508
1868,acts 2:47,117,0.0003583603635060508
852,galatians 6:2,116,0.00035529745441625546
1846,genesis 50:20,115,0.00035223454532646014
