Topic,Prevalence,Keys,Name
0,0.01356,water NUM river species project forest corps environmental projects wildlife fish conservation state resources endangered great lakes management forests oregon,EnvironmentalConservation
1,0.01175,florida coast island guard pledge states allegiance united rhode one marine ocean nation port speaker sea coastal america maritime fishing,MarinePolicy
2,0.04898,committee chairman bill work thank member ranking want also subcommittee important legislation support staff members bipartisan worked working forward leadership,Procedural1
3,0.01886,defense military NUM force air national department armed forces base army guard navy services security aircraft personnel support secretary training,Military
4,0.07714,senator president senate senators would amendment thank floor colleague new yield distinguished time friend NUM speak minutes kennedy ask state,SenateProcedural
5,0.07528,NUM percent year million years billion increase last would per cost one number since rate states average time less total,IncreaseOfThings
6,0.01444,NUM cancer disease health research treatment diseases aids breast medical women national prevention people diabetes public hiv patients life lives,MedicalResearch
7,0.00893,campaign money political reform NUM election finance public system candidates contributions elections soft limits campaigns groups special candidate ads parties,CampaignFinance
8,0.03588,years service served many great public work state career john one always friend people worked office well time today first,HonoringSomeone
9,0.01109,oil energy gas NUM prices price natural production drilling pipeline gasoline companies american supply would states barrels gallon industry petroleum,OilGas
10,0.01613,children child parents families NUM care family young kids youth foster support abuse help home parent age many adults adoption,Childcare
11,0.03047,NUM house speaker pro rules tempore chair suspend bill motion pursuant offered resolution gentleman rule pass question vote amended clause,HouseProcedural
12,0.00671,NUM safety vehicles vehicle michigan car trucks auto cars truck driving industry motor ford driver standards fuel drivers automobile transportation,VehicleSafety
13,0.01926,resolution NUM support speaker res united states house whereas day colleagues congress urge today rise national con NUMth concurrent greek,Procedural2
14,0.00977,epa water climate environmental clean air change environment health pollution NUM global emissions public carbon warming act drinking science protection,EnvironmentalProtection
15,0.01138,NUM team coach high state school game championship football baseball year sports basketball national season speaker first university league games,Sports
16,0.01205,police officers enforcement fire law NUM department officer safety chief firefighters service public local county community sheriff duty first line,PoliceAndFirefighters
17,0.03964,community NUM speaker service today work rise recognize years year honor award organization people members NUMth commitment join efforts dedication,HonoringCommunityService
18,0.00874,NUM indian native alaska tribes hawaii tribal guam american census tribe islands state states federal would united indians land montana,NativeAmericans
19,0.03214,budget NUM spending debt billion deficit year cuts tax cut president trillion balanced years fiscal pay would federal government congress,FederalDeficit
20,0.01524,national land NUM park lands colorado public service area state forest parks nevada acres wilderness would property management federal conservation,PublicLand
21,0.00735,NUM senate nominations record received congressional beginning appeared ending hundred officer army five nomination january navy debt presiding force june,SenateNominations
22,0.00761,food fda products safety drug health product industry NUM consumers animal consumer drugs american safe use animals public market devices,FoodDrugSafety
23,0.01716,security intelligence homeland NUM national terrorist terrorism information department attacks government terrorists attack protect NUM/NUM threat foreign september act threats,NineEleven
24,0.07067,speaker time yield NUM gentleman madam balance may consume minutes chairman committee reserve member back california mrs gentlewoman urge new,Procedural3
25,0.0067,drug drugs NUM use abuse colombia enforcement treatment addiction illegal law marijuana problem states cocaine gambling heroin alcohol trafficking mexico,IllegalDrugs
26,0.01064,medicare seniors drug prescription NUM drugs program benefit plan senior health cost coverage costs beneficiaries care would pay prices citizens,MedicareDrugCosts
27,0.03555,program programs NUM state local communities federal development funding states provide support services funds assistance community grant would training help,StateLocalProgramFunding
28,0.02079,president biden trump american democrats speaker government administration americans people crisis madam republicans covid pandemic shutdown house NUM even act,PresidentialPolicyCOVID
29,0.01317,violence NUM gun crime victims law crimes guns sexual enforcement domestic violent act assault hate legislation justice women trafficking criminal,ViolenceCrime
30,0.01232,new york NUM arts music museum art american library national history world city cultural culture also many center first speaker,ArtsAndCulture
31,0.04237,bill senate house conference passed legislation would bills president year committee pass report provisions provision last congress vote bipartisan appropriations,BillPassing
32,0.03678,NUM amendments vote time bill president amendment senate leader senator votes debate would senators majority cloture morning tomorrow minutes agreement,Procedural4
33,0.08287,would must many one believe may time could even policy new however long process issue problem much fact problems make,Unknown1
34,0.01382,trade american united agreement states china countries jobs foreign world agreements free export companies products workers market international exports country,InternationalTrade
35,0.0143,research science technology space NUM national stem development nasa scientific cell human new world innovation scientists engineering program cells university,ScienceTechnology
36,0.02309,NUM university association community board president served member service years award national also new college state council speaker american director,Organizations
37,0.01624,children NUM program welfare families food programs income states people work poverty medicaid care low poor assistance child state reform,ChildWelfare
38,0.0297,school education students schools college teachers high children student NUM public teacher educational parents higher program programs elementary state learning,Education
39,0.00759,NUM united africa peace people international government bosnia world haiti states war kosovo sudan nations president human humanitarian military refugees,InternationalConflicts
40,0.01091,tobacco bill court liability NUM legal cases claims state litigation damages companies lawsuits case lawyers law class action system would,LitigationLiability
41,0.01376,NUM vote voted would rollcall present speaker yea roll call patent yes aye motion votes amendment nay act madam recorded,Voting
42,0.01661,california NUM san county los city angeles community district mexico speaker valley francisco santa diego hispanic sacramento today rise years,California
43,0.04248,bill would federal state act law legislation states regulations new requirements laws rule process rules provision current congress regulatory government,NewRegulations
44,0.00865,church NUM religious faith catholic pastor god reverend baptist christian community prayer congregation religion first rev bishop speaker father india,Christianity
45,0.0255,NUM said article washington news new times one york post read says record letter press media journal wrote newspaper editorial,Newspapers
46,0.01492,NUM army service war medal military marine air served NUMth states country sergeant corps honor united general officer force navy,MilitaryService
47,0.07184,gentleman speaker thank chairman would want yielding new time california like gentlewoman york friend think say colleague texas ohio florida,BeingPolite
48,0.01116,border immigration NUM states united illegal country immigrants security law people legal mexico patrol visa borders american would system aliens,ImmigrationBorder
49,0.02786,jobs economy economic NUM job unemployment american growth create americans america people new work workers country benefits need tax businesses,Jobs
50,0.03417,government federal money dollars taxpayers private taxpayer american billion cost congress spending pay washington spend spent people billions program costs,FederalSpending
51,0.01574,iraq war troops military afghanistan president NUM american iraqi forces united security saddam people support world administration states hussein congress,IraqAfghanistanWars
