bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
L000397,Ms. LOFGREN,House,CA,F,744274,72,28,0
W000804,Mr. WITTMAN,House,VA,M,252131,155,122,3
S001201,Mr. SUOZZI,House,NY,M,56642,16,8,0
S001199,Mr. SMUCKER,House,PA,M,65489,2,1,1
U000031,Mr. UPTON,House,MI,M,380221,44,33,0
D000610,Mr. DEUTCH,House,FL,M,178958,4,3,0
S001190,Mr. SCHNEIDER,House,IL,M,132813,10,6,0
W000795,Mr. WILSON of South Carolina,House,SC,M,816663,1812,1714,2
H001073,Mr. HURD of Texas,House,TX,M,40545,6,6,0
B001284,Mrs. BROOKS of Indiana,House,IN,F,181734,23,10,1
H000324,Mr. HASTINGS,House,FL,M,1232128,126,67,2
C001053,Mr. COLE,House,OK,M,551932,20,15,0
M000312,Mr. McGOVERN,House,MA,M,2469948,243,175,1
K000381,Mr. KILMER,House,WA,M,113624,17,9,0
S001168,Mr. SARBANES,House,MD,M,185107,4,1,0
L000563,Mr. LIPINSKI,House,IL,M,245504,36,18,0
T000467,Mr. THOMPSON of Pennsylvania,House,PA,M,628483,136,106,2
J000294,Mr. JEFFRIES,House,NY,M,191680,24,26,0
B001282,Mr. BARR,House,KY,M,230561,77,67,1
M000355,Mr. McCONNELL,Senate,KY,M,4606247,260,178,4
H001046,Mr. HEINRICH,Senate,NM,M,180200,6,1,0
S000148,Mr. SCHUMER,Senate,NY,M,3007286,503,481,4
G000386,Mr. GRASSLEY,Senate,IA,M,4971414,205,156,2
M001188,Ms. MENG,House,NY,F,75032,0,0,1
L000579,Mr. LOWENTHAL,House,CA,M,111853,3,3,0
V000108,Mr. VISCLOSKY,House,IN,M,786562,174,91,1
L000559,Mr. LANGEVIN,House,RI,M,496941,15,16,0
B001286,Mrs. BUSTOS,House,IL,F,137585,7,3,0
A000055,Mr. ADERHOLT,House,AL,M,221885,211,123,10
C001059,Mr. COSTA,House,CA,M,597779,85,69,0
L000589,Mrs. LESKO,House,AZ,F,86795,8,6,0
H001068,Mr. HUFFMAN,House,CA,M,229961,2,1,0
B001292,Mr. BEYER,House,VA,M,122590,20,8,0
B001299,Mr. BANKS,House,IN,M,61073,51,30,0
B000490,Mr. BISHOP of Georgia,House,GA,M,601893,1021,597,25
L000287,Mr. LEWIS,House,GA,M,329946,110,78,11
M000087,Mrs. CAROLYN B. MALONEY of New York,House,NY,F,1690541,76,39,0
J000126,Ms. JOHNSON of Texas,House,TX,F,947818,120,75,1
W000813,Mrs. WALORSKI,House,IN,F,109526,29,12,0
J000255,Mr. JONES,House,NC,M,602818,1751,1558,3
R000575,Mr. ROGERS of Alabama,House,AL,M,260956,118,91,1
N000015,Mr. NEAL,House,MA,M,519515,49,23,0
N000189,Mr. NEWHOUSE,House,WA,M,196912,8,7,0
N000147,Ms. NORTON,House,DC,F,1683441,115,83,1
O000173,Ms. OMAR,House,MN,F,32806,1,1,0
M001201,Mr. MITCHELL,House,MI,M,65985,16,10,0
C001069,Mr. COURTNEY,House,CT,M,500031,19,16,0
M001200,Mr. McEACHIN,House,VA,M,47666,14,3,0
C001114,Mr. CURTIS,House,UT,M,33469,7,5,0
M001208,Mrs. McBATH,House,GA,F,45490,23,27,0
M001198,Mr. MARSHALL,House,KS,M,174630,23,30,0
P000617,Ms. PRESSLEY,House,MA,F,43494,5,6,0
G000582,Miss GONZALEZ-COLON of Puerto Rico,House,PR,F,71480,6,6,0
P000034,Mr. PALLONE,House,NJ,M,2534503,82,41,0
B001248,Mr. BURGESS,House,TX,M,1536219,108,48,0
D000624,Mrs. DINGELL,House,MI,F,282296,45,27,1
G000558,Mr. GUTHRIE,House,KY,M,148024,19,8,0
W000824,Mr. WATKINS,House,KS,M,6271,9,9,0
L000566,Mr. LATTA,House,OH,M,211990,7,4,0
E000215,Ms. ESHOO,House,CA,F,680842,132,91,1
J000032,Ms. JACKSON LEE,House,TX,F,8637875,1065,770,39
T000193,Mr. THOMPSON of Mississippi,House,MS,M,984642,791,470,19
R000588,Mr. RICHMOND,House,LA,M,126409,36,14,0
S000364,Mr. SHIMKUS,House,IL,M,610532,289,220,5
T000469,Mr. TONKO,House,NY,M,485751,13,12,1
V000081,Ms. VELAZQUEZ,House,NY,F,413179,18,7,0
C000266,Mr. CHABOT,House,OH,M,453357,57,51,1
