,congress_idx_dallas,original row,Round,rand,text,Label_dallas,Notes_dallas,King James Bible_dallas,American Standard Version_dallas,Douay-Rheims Bible_dallas,Darby Bible Translation_dallas,English Revised Version_dallas,Webster Bible Translation_dallas,World English Bible_dallas,Young's Literal Translation_dallas,American King James Version_dallas,0_dallas,Match_dallas,congress_idx_lavinia,Label_lavinia,Notes_lavinia,King James Bible_lavinia,American Standard Version_lavinia,Douay-Rheims Bible_lavinia,Darby Bible Translation_lavinia,English Revised Version_lavinia,Webster Bible Translation_lavinia,World English Bible_lavinia,Young's Literal Translation_lavinia,American King James Version_lavinia,0_lavinia,Match_lavinia,label_emb,label_ngm,label_emb_perc,label_emb_bin,stratum,weight,label_ngm_bin,label_emb_ngm_or,label_emb_ngm_and
0,20333,51,1.0,0.7755245506,And the truth shall set you free.'',Match,,"And ye shall know the truth, and the truth shall make you free.","and ye shall know the truth, and the truth shall make you free.","And you shall know the truth, and the truth shall make you free. ","and ye shall know the truth, and the truth shall set you free.","and ye shall know the truth, and the truth shall make you free.","And ye shall know the truth, and the truth shall make you free.","You will know the truth, and the truth will make you free.|",and the truth shall make you free.',"And you shall know the truth, and the truth shall make you free.",0.8512127227,1,20333,Match,,"And ye shall know the truth, and the truth shall make you free.","and ye shall know the truth, and the truth shall make you free.","And you shall know the truth, and the truth shall make you free. ","and ye shall know the truth, and the truth shall set you free.","and ye shall know the truth, and the truth shall make you free.","And ye shall know the truth, and the truth shall make you free.","You will know the truth, and the truth will make you free.|",and the truth shall make you free.',"And you shall know the truth, and the truth shall make you free.",0.3952579982,1,0.8689665424409996,3.0,8,0,8,0.08666666666666667,0,0,0
1,373263,123,1.0,0.4964230673,"So it is a friend that we have, and we must maintain that friendship.",Not Match,,A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.,He that maketh many friends doeth it to his own destruction; But there is a friend that sticketh closer than a brother.,"A man amiable in society, shall be more friendly than a brother. ",A man of many friends will come to ruin but there is a friend that sticketh closer than a brother.,He that maketh many friends doeth it to his own destruction: but there is a friend that sticketh closer than a brother.,A man that hath friends must show himself friendly: and there is a friend that sticketh closer than a brother.,"A man of many companions may be ruined, but there is a friend who sticks closer than a brother.","A man with friends is to show himself friendly, And there is a lover adhering more than a brother!",A man that has friends must show himself friendly: and there is a friend that sticks closer than a brother.,0.4386450606,0,373263,Not Match,,A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.,He that maketh many friends doeth it to his own destruction; But there is a friend that sticketh closer than a brother.,"A man amiable in society, shall be more friendly than a brother. ",A man of many friends will come to ruin but there is a friend that sticketh closer than a brother.,He that maketh many friends doeth it to his own destruction: but there is a friend that sticketh closer than a brother.,A man that hath friends must show himself friendly: and there is a friend that sticketh closer than a brother.,"A man of many companions may be ruined, but there is a friend who sticks closer than a brother.","A man with friends is to show himself friendly, And there is a lover adhering more than a brother!",A man that has friends must show himself friendly: and there is a friend that sticks closer than a brother.,0.4879428431,0,0.5502361185308847,2.0,5,0,5,0.12666666666666668,0,0,0
2,1805833,78,1.0,0.6139732472,"Jesus said in John 15:13, ``Greater love hath no man than this, that he lay down his life for his friends.''",Match,,"Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love than this no man hath, that a man lay down his life for his friends. ","No one has greater love than this, that one should lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love has no one than this, that someone lay down his life for his friends.","greater love than this hath no one, that any one his life may lay down for his friends;","Greater love has no man than this, that a man lay down his life for his friends.",0.05696280057,1,1805833,Match,,"Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love than this no man hath, that a man lay down his life for his friends. ","No one has greater love than this, that one should lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love hath no man than this, that a man lay down his life for his friends.","Greater love has no one than this, that someone lay down his life for his friends.","greater love than this hath no one, that any one his life may lay down for his friends;","Greater love has no man than this, that a man lay down his life for his friends.",0.6124097905,1,0.8097640548341485,13.0,8,0,8,0.08666666666666667,1,1,0
3,2038851,148,1.0,0.5275740168,"But with all of the uncertainties in our relationship with Russia, we simply cannot allow ourselves the vulnerability of being totally dependent on the Soyuz.",Not Match,,"Set your affection on things above, not on things on the earth.","Set your mind on the things that are above, not on the things that are upon the earth.","Mind the things that are above, not the things that are upon the earth. ","have your mind on the things that are above, not on the things that are on the earth;","Set your mind on the things that are above, not on the things that are upon the earth.","Set your affection on things above, not on things on the earth.","Set your mind on the things that are above, not on the things that are on the earth.","the things above mind ye, not the things upon the earth,"," Set your affection on things above, not on things on the earth.",0.7800491063,0,2038851,Not Match,,"Set your affection on things above, not on things on the earth.","Set your mind on the things that are above, not on the things that are upon the earth.","Mind the things that are above, not the things that are upon the earth. ","have your mind on the things that are above, not on the things that are on the earth;","Set your mind on the things that are above, not on the things that are upon the earth.","Set your affection on things above, not on things on the earth.","Set your mind on the things that are above, not on the things that are on the earth.","the things above mind ye, not the things upon the earth,"," Set your affection on things above, not on things on the earth.",0.6399035387,0,0.2229968647713902,0.0,2,0,2,0.14666666666666667,0,0,0
4,1765839,220,1.0,0.3689965577,May God comfort them in their time of grief and be a source of strength for them.,Not Match,I think this is something like a common prayer?,Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,"Blessed they that mourn, for they shall be comforted.",Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,"Blessed are those who mourn, for they shall be comforted.",Happy the mourning &#8212; because they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,0.9857251481,0,1765839,Not Match,,Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,"Blessed they that mourn, for they shall be comforted.",Blessed are they that mourn: for they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,"Blessed are those who mourn, for they shall be comforted.",Happy the mourning &#8212; because they shall be comforted.,Blessed are they that mourn: for they shall be comforted.,0.2409363785,0,0.7352961031676264,1.0,7,0,7,0.10666666666666667,0,0,0
5,2129590,36,1.0,0.4431220957,E. Except a man be born again he cannot see the Kingdom of God.,Match,,"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except one be born anew, he cannot see the kingdom of God.","Jesus answered, and said to him: Amen, amen I say to thee, unless a man be born again, he cannot see the kingdom of God. ","Jesus answered and said to him, Verily, verily, I say unto thee, Except any one be born anew he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born anew, he cannot see the kingdom of God.","Jesus answered and said to him, Verily, verily, I say to thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered him, |Most certainly, I tell you, unless one is born anew, he can't see the Kingdom of God.|","Jesus answered and said to him, 'Verily, verily, I say to thee, If any one may not be born from above, he is not able to see the reign of God;'","Jesus answered and said to him, Truly, truly, I say to you, Except a man be born again, he cannot see the kingdom of God.",0.6795005391,1,2129590,Match,,"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except one be born anew, he cannot see the kingdom of God.","Jesus answered, and said to him: Amen, amen I say to thee, unless a man be born again, he cannot see the kingdom of God. ","Jesus answered and said to him, Verily, verily, I say unto thee, Except any one be born anew he cannot see the kingdom of God.","Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born anew, he cannot see the kingdom of God.","Jesus answered and said to him, Verily, verily, I say to thee, Except a man be born again, he cannot see the kingdom of God.","Jesus answered him, |Most certainly, I tell you, unless one is born anew, he can't see the Kingdom of God.|","Jesus answered and said to him, 'Verily, verily, I say to thee, If any one may not be born from above, he is not able to see the reign of God;'","Jesus answered and said to him, Truly, truly, I say to you, Except a man be born again, he cannot see the kingdom of God.",0.903752728,1,0.7188549245127981,11.0,7,0,7,0.10666666666666667,1,1,0
6,1349950,118,1.0,0.9589183078,We have a history of being a country that I am sure God must appreciate a great deal and the world must appreciate a great deal.,Not Match,,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.","and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed.","I will bless them that bless thee, and curse them that curse thee, and IN THEE shall all the kindred of the earth be blessed: ","And I will bless them that bless thee, and curse him that curseth thee; and in thee shall all families of the earth be blessed.","and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed.","And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.","I will bless those who bless you, and I will curse him who curses you. All of the families of the earth will be blessed in you.|","And I bless those blessing thee, and him who is disesteeming thee I curse, and blessed in thee have been all families of the ground.'","And I will bless them that bless you, and curse him that curses you: and in you shall all families of the earth be blessed.",0.488430954,0,1349950,Not Match,,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.","and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed.","I will bless them that bless thee, and curse them that curse thee, and IN THEE shall all the kindred of the earth be blessed: ","And I will bless them that bless thee, and curse him that curseth thee; and in thee shall all families of the earth be blessed.","and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed.","And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.","I will bless those who bless you, and I will curse him who curses you. All of the families of the earth will be blessed in you.|","And I bless those blessing thee, and him who is disesteeming thee I curse, and blessed in thee have been all families of the ground.'","And I will bless them that bless you, and curse him that curses you: and in you shall all families of the earth be blessed.",0.9012251194,0,0.41610453971663,1.0,4,0,4,0.10666666666666667,0,0,0
7,1250969,67,1.0,0.7481380175,"I will repay, saith the Lord.",Match,,"Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Avenge not yourselves, beloved, but give place unto the wrath of God : for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Revenge not yourselves, my dearly beloved; but give place unto wrath, for it is written: Revenge is mine, I will repay, saith the Lord. ","not avenging yourselves, beloved, but give place to wrath; for it is written, Vengeance belongs to me, I will recompense, saith the Lord.","Avenge not yourselves, beloved, but give place unto wrath: for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Don't seek revenge yourselves, beloved, but give place to God's wrath. For it is written, |Vengeance belongs to me; I will repay, says the Lord.|","not avenging yourselves, beloved, but give place to the wrath, for it hath been written, 'Vengeance is Mine,","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, said the Lord.",0.745277696,1,1250969,Match,,"Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Avenge not yourselves, beloved, but give place unto the wrath of God : for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Revenge not yourselves, my dearly beloved; but give place unto wrath, for it is written: Revenge is mine, I will repay, saith the Lord. ","not avenging yourselves, beloved, but give place to wrath; for it is written, Vengeance belongs to me, I will recompense, saith the Lord.","Avenge not yourselves, beloved, but give place unto wrath: for it is written, Vengeance belongeth unto me; I will recompense, saith the Lord.","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.","Don't seek revenge yourselves, beloved, but give place to God's wrath. For it is written, |Vengeance belongs to me; I will repay, says the Lord.|","not avenging yourselves, beloved, but give place to the wrath, for it hath been written, 'Vengeance is Mine,","Dearly beloved, avenge not yourselves, but rather give place to wrath: for it is written, Vengeance is mine; I will repay, said the Lord.",0.752392673,1,0.5471315051887492,6.0,5,0,5,0.12666666666666668,0,0,0
8,303865,108,1.0,0.6676226013,"Unfortunately, it is my fear that in our haste to help, we may have done real economic harm.",Not Match,,"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience;","And not only so, but we also rejoice in our tribulations: knowing that tribulation worketh stedfastness;","And not only so; but we glory also in tribulations, knowing that tribulation worketh patience; ","And not only that, but we also boast in tribulations, knowing that tribulation works endurance;","And not only so, but let us also rejoice in our tribulations: knowing that tribulation worketh patience;","And not only so, but we glory in tribulations also; knowing that tribulation worketh patience;","Not only this, but we also rejoice in our sufferings, knowing that suffering works perseverance;","And not only so, but we also boast in the tribulations, knowing that the tribulation doth work endurance;","And not only so, but we glory in tribulations also: knowing that tribulation works patience;",0.7920133061,0,303865,Not Match,,"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience;","And not only so, but we also rejoice in our tribulations: knowing that tribulation worketh stedfastness;","And not only so; but we glory also in tribulations, knowing that tribulation worketh patience; ","And not only that, but we also boast in tribulations, knowing that tribulation works endurance;","And not only so, but let us also rejoice in our tribulations: knowing that tribulation worketh patience;","And not only so, but we glory in tribulations also; knowing that tribulation worketh patience;","Not only this, but we also rejoice in our sufferings, knowing that suffering works perseverance;","And not only so, but we also boast in the tribulations, knowing that the tribulation doth work endurance;","And not only so, but we glory in tribulations also: knowing that tribulation works patience;",0.1943535152,0,0.2074750744460369,2.0,2,0,2,0.14666666666666667,0,0,0
9,1631399,93,1.0,0.9579506939,"It is their steadfast support of their husband and dad that enabled his continued service, ultimately leading to this historic promotion.",Not Match,,"And they continued stedfastly in the apostles' doctrine and fellowship, and in breaking of bread, and in prayers.","And they continued stedfastly in the apostles teaching and fellowship, in the breaking of bread and the prayers.","And they were persevering in the doctrine of the apostles, and in the communication of the breaking of bread, and in prayers. ","And they persevered in the teaching and fellowship of the apostles, in breaking of bread and prayers.","And they continued stedfastly in the apostles' teaching and fellowship, in the breaking of bread and the prayers.","And they continued steadfastly in the apostles doctrine and fellowship, and in breaking of bread, and in prayers.","They continued steadfastly in the apostles' teaching and fellowship, in the breaking of bread, and prayer.","and they were continuing stedfastly in the teaching of the apostles, and the fellowship, and the breaking of the bread, and the prayers.","And they continued steadfastly in the apostles' doctrine and fellowship, and in breaking of bread, and in prayers.",0.8066964516,0,1631399,Not Match,,"And they continued stedfastly in the apostles' doctrine and fellowship, and in breaking of bread, and in prayers.","And they continued stedfastly in the apostles teaching and fellowship, in the breaking of bread and the prayers.","And they were persevering in the doctrine of the apostles, and in the communication of the breaking of bread, and in prayers. ","And they persevered in the teaching and fellowship of the apostles, in breaking of bread and prayers.","And they continued stedfastly in the apostles' teaching and fellowship, in the breaking of bread and the prayers.","And they continued steadfastly in the apostles doctrine and fellowship, and in breaking of bread, and in prayers.","They continued steadfastly in the apostles' teaching and fellowship, in the breaking of bread, and prayer.","and they were continuing stedfastly in the teaching of the apostles, and the fellowship, and the breaking of the bread, and the prayers.","And they continued steadfastly in the apostles' doctrine and fellowship, and in breaking of bread, and in prayers.",0.8642794939,0,0.3319226978101999,0.0,3,0,3,0.08666666666666667,0,0,0
