Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Aaron Bean,Republican,Florida's 4th,Unspecified Protestant,,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314,B001314
Michael Waltz,Republican,Florida's 6th,Unspecified Protestant,,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823,W000823
Cory Mills,Republican,Florida's 7th,Unspecified Protestant,,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216,M001216
Laurel Lee,Republican,Florida's 15th,Unspecified Protestant,,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597,L000597
Byron Donalds,Republican,Florida's 19th,Unspecified Protestant,,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032,D000032
Sheila Cherfilus-McCormick,Democratic,Florida's 20th,Unspecified Protestant,,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127,C001127
Brian Mast,Republican,Florida's 21st,Unspecified Protestant,,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199,M001199
María Elvira Salazar,Republican,Florida's 27th,Unspecified Protestant,Lapsed Catholic,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168,S000168
Rich McCormick,Republican,Georgia's 6th,Unspecified Protestant,,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218,M001218
Lucy McBath,Democratic,Georgia's 7th,Unspecified Protestant,,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208,M001208
Marjorie Taylor Greene,Republican,Georgia's 14th,Unspecified Protestant,Lapsed Catholic,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596,G000596
Ed Case,Democratic,Hawaii's 1st,Unspecified Protestant,,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055,C001055
Jill Tokuda,Democratic,Hawaii's 2nd,Unspecified Protestant,,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487,T000487
