Senator,Party,State,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
John Barrasso,Republican,Wyoming,Presbyterian[3][4],Denomination: PCUSA; former Catholic.,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261,B001261
Marsha Blackburn,Republican,Tennessee,Presbyterian[5],Denomination: PCA.,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243,B001243
Shelley Moore Capito,Republican,West Virginia,Presbyterian[6],Denomination: PCUSA.,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047,C001047
Tom Carper,Democrat,Delaware,Presbyterian[7][8],Denomination: PCUSA.,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174,C000174
Chris Coons,Democrat,Delaware,Presbyterian[9][10],Attends a Catholic church.[11],C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088,C001088
Steve Daines,Republican,Montana,Presbyterian[12],Denomination: EPC.[13][14],D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618,D000618
Deb Fischer,Republican,Nebraska,Presbyterian[15][16],,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463,F000463
Josh Hawley,Republican,Missouri,Presbyterian[17],Raised as a Methodist;[18] denomination: EPC.[19],H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089,H001089
Rand Paul,Republican,Kentucky,Presbyterian[20][21],Raised as an Episcopalian.[22][23],P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603,P000603
Tina Smith,Democrat,Minnesota,Presbyterian[2],"Swore by an old Heilige Bibel, a family Bible.[24]",S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203,S001203
Mark Warner,Democrat,Virginia,Presbyterian[25][26],,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805,W000805
Cory Booker,Democrat,New Jersey,Baptist[27],Denomination: NBC.[28] Raised as a Methodist.[29],B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288,B001288
John Boozman,Republican,Arkansas,Baptist[30][31],Denomination: SBC.,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236,B001236
