ZIP,CD,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,3602,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,7200,ADJUNTAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00602,7200,AGUADA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00603,7200,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00604,7200,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,7200,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,7200,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,7200,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,7200,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,7200,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00613,7200,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,7200,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,7200,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,7200,BARCELONETA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00622,7200,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,7200,CABO ROJO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00624,7200,PENUELAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00627,7200,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,7200,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,7200,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,7200,CIALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00641,7200,UTUADO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00646,7200,DORADO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00647,7200,ENSENADA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00650,7200,FLORIDA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00652,7200,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,7200,GUANICA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00656,7200,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,7200,HATILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00660,7200,HORMIGUEROS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00662,7200,ISABELA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00664,7200,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,7200,LAJAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00669,7200,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,7200,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,7200,MANATI,PR,1.000000000,1.000000000,1.000000000,1.000000000
00676,7200,MOCA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00677,7200,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,7200,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,7200,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00681,7200,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,7200,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,7200,SAN GERMAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00685,7200,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,7200,MOROVIS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00688,7200,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,7200,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,7200,VEGA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00693,7200,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00694,7200,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,7200,YAUCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00703,7200,AGUAS BUENAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00704,7200,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,7200,AIBONITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00707,7200,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,7200,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,7200,MERCEDITA,PR,1.000000000,1.000000000,1.000000000,1.000000000
