ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72113,ADJUNTAS,PR,0.158290598,0.199501247,0.128048780,0.160093531
00601,72001,ADJUNTAS,PR,0.841709402,0.800498753,0.871951220,0.839906469
00602,72003,AGUADA,PR,0.999410179,0.998988878,1.000000000,0.999388800
00602,72117,AGUADA,PR,0.000589821,0.000000000,0.000000000,0.000534800
00602,72005,AGUADA,PR,0.000000000,0.001011122,0.000000000,0.000076400
00603,72099,AGUADILLA,PR,0.002567324,0.000906618,0.000000000,0.002398920
00603,72005,AGUADILLA,PR,0.997432676,0.999093382,1.000000000,0.997601080
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72017,ARECIBO,PR,0.000718482,0.000000000,0.000000000,0.000633808
00612,72065,ARECIBO,PR,0.004268628,0.000401445,0.000000000,0.003802848
00612,72141,ARECIBO,PR,0.000929800,0.000401445,0.002985075,0.000932071
00612,72013,ARECIBO,PR,0.990955581,0.998795664,0.997014925,0.991835061
00612,72054,ARECIBO,PR,0.003127509,0.000401445,0.000000000,0.002796212
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72017,BARCELONETA,PR,0.927586522,0.956723338,1.000000000,0.930020457
00617,72054,BARCELONETA,PR,0.030408182,0.001545595,0.000000000,0.028469144
00617,72091,BARCELONETA,PR,0.042005296,0.041731066,0.000000000,0.041510399
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72097,CABO ROJO,PR,0.000827867,0.000000000,0.000000000,0.000772384
00623,72023,CABO ROJO,PR,0.999172133,1.000000000,1.000000000,0.999227616
00624,72059,PENUELAS,PR,0.000000000,0.020253165,0.000000000,0.001003009
00624,72113,PENUELAS,PR,0.001060727,0.000000000,0.000000000,0.001003009
00624,72111,PENUELAS,PR,0.998939273,0.979746835,1.000000000,0.997993982
00627,72027,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,CIALES,PR,0.999375683,0.990228013,1.000000000,0.998966179
00638,72107,CIALES,PR,0.000624317,0.009771987,0.000000000,0.001033821
00641,72113,UTUADO,PR,0.027600203,0.004651163,0.288235294,0.030365511
00641,72141,UTUADO,PR,0.972399797,0.995348837,0.711764706,0.969634489
00646,72051,DORADO,PR,0.969053759,0.986330179,1.000000000,0.970354391
00646,72137,DORADO,PR,0.004099716,0.005257624,0.000000000,0.004129430
00646,72143,DORADO,PR,0.017721352,0.006309148,0.000000000,0.016887519
00646,72135,DORADO,PR,0.009125174,0.002103049,0.000000000,0.008628659
00647,72121,ENSENADA,PR,0.008302319,0.000000000,0.000000000,0.008044383
00647,72055,ENSENADA,PR,0.991697681,1.000000000,1.000000000,0.991955617
00650,72013,FLORIDA,PR,0.139215332,0.006289308,0.172413793,0.135688057
00650,72054,FLORIDA,PR,0.851383113,0.993710692,0.827586207,0.855219444
00650,72017,FLORIDA,PR,0.004519978,0.000000000,0.000000000,0.004371394
00650,72091,FLORIDA,PR,0.004881577,0.000000000,0.000000000,0.004721105
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,GUANICA,PR,0.995133412,1.000000000,1.000000000,0.995412118
00653,72153,GUANICA,PR,0.004866588,0.000000000,0.000000000,0.004587882
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,HATILLO,PR,0.991697417,0.997627521,1.000000000,0.992166899
00659,72013,HATILLO,PR,0.008302583,0.002372479,0.000000000,0.007833101
00660,72067,HORMIGUEROS,PR,0.995656580,0.996710526,1.000000000,0.995754588
00660,72097,HORMIGUEROS,PR,0.004343420,0.003289474,0.000000000,0.004245412
00662,72005,ISABELA,PR,0.001935911,0.002923977,0.000000000,0.001975076
00662,72115,ISABELA,PR,0.001120791,0.000730994,0.000000000,0.001081589
00662,72071,ISABELA,PR,0.987416578,0.990497076,1.000000000,0.987773336
00662,72099,ISABELA,PR,0.009526721,0.005847953,0.000000000,0.009169998
00664,72073,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,72121,LAJAS,PR,0.000335196,0.002272727,0.000000000,0.000422833
00667,72079,LAJAS,PR,0.999664804,0.997727273,1.000000000,0.999577167
00669,72081,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,72145,MANATI,PR,0.012855249,0.026285714,0.028125000,0.014317351
00674,72091,MANATI,PR,0.975730674,0.971428571,0.971875000,0.975279394
00674,72101,MANATI,PR,0.011414077,0.002285714,0.000000000,0.010403255
00676,72099,MOCA,PR,0.998859040,1.000000000,1.000000000,0.998920828
00676,72131,MOCA,PR,0.001140960,0.000000000,0.000000000,0.001079172
00677,72117,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,72115,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,72011,MAYAGUEZ,PR,0.000047259,0.000000000,0.000000000,0.000040077
00680,72097,MAYAGUEZ,PR,0.999810964,0.999620493,1.000000000,0.999799615
00680,72023,MAYAGUEZ,PR,0.000000000,0.000379507,0.000000000,0.000040077
00680,72067,MAYAGUEZ,PR,0.000141777,0.000000000,0.000000000,0.000120231
00681,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,72097,SAN GERMAN,PR,0.000157122,0.000000000,0.000000000,0.000144186
00683,72121,SAN GERMAN,PR,0.047686385,0.002249719,0.027667984,0.044409199
00683,72067,SAN GERMAN,PR,0.010527143,0.002249719,0.007905138,0.009948814
00683,72079,SAN GERMAN,PR,0.000942729,0.000000000,0.000000000,0.000865114
00683,72125,SAN GERMAN,PR,0.939901013,0.994375703,0.964426877,0.943839665
00683,72023,SAN GERMAN,PR,0.000785608,0.001124859,0.000000000,0.000793021
00685,72131,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,72145,MOROVIS,PR,0.001017708,0.000000000,0.000000000,0.000968335
00687,72143,MOROVIS,PR,0.000407083,0.000000000,0.000000000,0.000387334
00687,72101,MOROVIS,PR,0.972420110,0.997590361,1.000000000,0.973661276
00687,72091,MOROVIS,PR,0.026155099,0.002409639,0.000000000,0.024983054
00688,72013,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,72005,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,72145,VEGA ALTA,PR,0.006569763,0.000000000,0.000000000,0.006081338
00692,72101,VEGA ALTA,PR,0.000739098,0.000000000,0.000000000,0.000684151
00692,72143,VEGA ALTA,PR,0.992362651,1.000000000,1.000000000,0.992930445
00692,72051,VEGA ALTA,PR,0.000328488,0.000000000,0.000000000,0.000304067
00693,72145,VEGA BAJA,PR,0.984464516,1.000000000,1.000000000,0.985642053
00693,72101,VEGA BAJA,PR,0.002683871,0.000000000,0.000000000,0.002480443
00693,72091,VEGA BAJA,PR,0.012800000,0.000000000,0.000000000,0.011829803
00693,72143,VEGA BAJA,PR,0.000051613,0.000000000,0.000000000,0.000047701
00694,72145,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,72121,YAUCO,PR,0.001455163,0.000000000,0.000000000,0.001342507
00698,72153,YAUCO,PR,0.996968411,0.964049196,0.975535168,0.994629971
00698,72059,YAUCO,PR,0.001576426,0.035950804,0.024464832,0.004027521
00703,72041,AGUAS BUENAS,PR,0.147320797,0.021505376,0.000000000,0.141506886
00703,72007,AGUAS BUENAS,PR,0.852679203,0.978494624,1.000000000,0.858493114
00704,72123,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,72035,AIBONITO,PR,0.001027749,0.003601441,0.000000000,0.001257143
00705,72043,AIBONITO,PR,0.001284687,0.000000000,0.000000000,0.001142857
00705,72009,AIBONITO,PR,0.997687564,0.996398559,1.000000000,0.997600000
00707,72095,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,72015,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,72075,MERCEDITA,PR,0.213585892,0.029801325,0.000000000,0.182608696
00715,72113,MERCEDITA,PR,0.786414108,0.970198675,1.000000000,0.817391304
00716,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,72103,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,72127,NARANJITO,PR,0.002816901,0.000000000,0.000000000,0.002629950
00719,72019,NARANJITO,PR,0.011764706,0.107843137,0.142857143,0.018254950
00719,72105,NARANJITO,PR,0.985418393,0.892156863,0.857142857,0.979115099
00720,72075,OROCOVIS,PR,0.106846128,0.024691358,0.000000000,0.101322957
00720,72101,OROCOVIS,PR,0.006646726,0.000000000,0.000000000,0.006225681
00720,72107,OROCOVIS,PR,0.886507145,0.975308642,1.000000000,0.892451362
00721,72119,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,72025,PATILLAS,PR,0.163337629,0.006309148,0.000000000,0.153869453
00723,72109,PATILLAS,PR,0.836662371,0.993690852,1.000000000,0.846130547
00725,72025,CAGUAS,PR,0.986314250,0.998649561,0.987074031,0.987457346
00725,72129,CAGUAS,PR,0.000313414,0.000000000,0.002350176,0.000338160
00725,72041,CAGUAS,PR,0.000905419,0.000000000,0.001175088,0.000830029
00725,72007,CAGUAS,PR,0.004736036,0.000337610,0.000000000,0.004211627
00725,72063,CAGUAS,PR,0.007034406,0.001012829,0.009400705,0.006548003
00725,72127,CAGUAS,PR,0.000696476,0.000000000,0.000000000,0.000614836
00726,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,72029,CANOVANAS,PR,0.845106092,0.917735043,0.748387097,0.848480988
00729,72031,CANOVANAS,PR,0.014442163,0.000000000,0.148387097,0.014903509
00729,72087,CANOVANAS,PR,0.137303217,0.082264957,0.103225806,0.133685752
00729,72063,CANOVANAS,PR,0.003148528,0.000000000,0.000000000,0.002929750
00730,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,72037,CEIBA,PR,0.992642816,1.000000000,1.000000000,0.992974239
00735,72119,CEIBA,PR,0.000721293,0.000000000,0.000000000,0.000688800
00735,72053,CEIBA,PR,0.006635892,0.000000000,0.000000000,0.006336961
00736,72035,CAYEY,PR,0.998877740,0.999060150,1.000000000,0.998904576
00736,72025,CAYEY,PR,0.001122260,0.000939850,0.000000000,0.001095424
00737,72035,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00738,72037,FAJARDO,PR,0.004055445,0.000687758,0.000000000,0.003723171
00738,72053,FAJARDO,PR,0.992797046,0.999312242,1.000000000,0.993429698
00738,72089,FAJARDO,PR,0.003147509,0.000000000,0.000000000,0.002847131
00739,72041,CIDRA,PR,0.966159180,1.000000000,1.000000000,0.967962897
00739,72045,CIDRA,PR,0.000829062,0.000000000,0.000000000,0.000784873
00739,72025,CIDRA,PR,0.031202894,0.000000000,0.000000000,0.029539779
00739,72035,CIDRA,PR,0.001808863,0.000000000,0.000000000,0.001712451
00740,72053,PUERTO REAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00741,72069,PUNTA SANTIAGO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00742,72037,ROOSEVELT ROADS,PR,0.000000000,0.000000000,1.000000000,1.000000000
00744,72103,RIO BLANCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00745,72119,RIO GRANDE,PR,0.973522101,0.995626822,1.000000000,0.974444041
00745,72029,RIO GRANDE,PR,0.026477899,0.004373178,0.000000000,0.025555959
00751,72123,SALINAS,PR,0.998687977,1.000000000,1.000000000,0.998784127
00751,72133,SALINAS,PR,0.001312023,0.000000000,0.000000000,0.001215873
00754,72129,SAN LORENZO,PR,0.998934164,1.000000000,1.000000000,0.999003602
