,State,District,Name,Party,Status,Religion
0,AK,At-large,Don Young,R,Continuing,Episcopalian
1,AK,Senator,Dan Sullivan,R,Continuing,Catholic
2,AK,Senator,Lisa Murkowski,R,Continuing,Catholic
3,AL,1,Jerry Carl,R,Freshman,Baptist
4,AL,2,Barry Moore,R,Freshman,Baptist
5,AL,3,Mike D. Rogers,R,Continuing,Baptist
6,AL,4,Robert B. Aderholt,R,Continuing,Congregationalist
7,AL,5,Mo Brooks,R,Continuing,Nondenominational
8,AL,6,Gary Palmer,R,Continuing,Protestant unspecified
9,AL,7,Terri A. Sewell,D,Continuing,Methodist
10,AL,Senator,Richard C. Shelby,R,Continuing,Presbyterian
11,AL,Senator,Tommy Tuberville,R,Freshman,Restorationist
12,AR,1,Rick Crawford,R,Continuing,Baptist
13,AR,2,French Hill,R,Continuing,Catholic
14,AR,3,Steve Womack,R,Continuing,Baptist
15,AR,4,Bruce Westerman,R,Continuing,Baptist
16,AR,Senator,Tom Cotton,R,Continuing,Methodist
17,AR,Senator,John Boozman,R,Continuing,Baptist
18,AZ,1,Tom O'Halleran,D,Continuing,Catholic
19,AZ,2,Ann Kirkpatrick,D,Continuing,Catholic
20,AZ,3,Raul M. Grijalva,D,Continuing,Catholic
21,AZ,4,Paul Gosar,R,Continuing,Catholic
22,AZ,5,Andy Biggs,R,Continuing,Mormon
23,AZ,6,David Schweikert,R,Continuing,Catholic
24,AZ,7,Ruben Gallego,D,Continuing,Catholic
25,AZ,8,Debbie Lesko,R,Continuing,Protestant unspecified
26,AZ,9,Greg Stanton,D,Continuing,Catholic
27,AZ,Senator,Mark Kelly,D,Freshman,Catholic
28,AZ,Senator,Kyrsten Sinema,D,Continuing,Unaffiliated
29,CA,1,Doug LaMalfa,R,Continuing,Protestant unspecified
30,CA,2,Jared Huffman,D,Continuing,Other
31,CA,3,John Garamendi,D,Continuing,Protestant unspecified
32,CA,4,Tom McClintock,R,Continuing,Baptist
33,CA,5,Mike Thompson,D,Continuing,Catholic
34,CA,6,Doris Matsui,D,Continuing,Methodist
35,CA,7,Ami Bera,D,Continuing,Unitarian Universalist
36,CA,8,Jay Obernolte,R,Freshman,Protestant unspecified
37,CA,9,Jerry McNerney,D,Continuing,Catholic
38,CA,10,Josh Harder,D,Continuing,Protestant unspecified
39,CA,11,Mark DeSaulnier,D,Continuing,Catholic
40,CA,12,Nancy Pelosi,D,Continuing,Catholic
41,CA,13,Barbara Lee,D,Continuing,Baptist
42,CA,14,Jackie Speier,D,Continuing,Catholic
43,CA,15,Eric Swalwell,D,Continuing,Protestant unspecified
44,CA,16,Jim Costa,D,Continuing,Catholic
45,CA,17,Ro Khanna,D,Continuing,Hindu
46,CA,18,Anna G. Eshoo,D,Continuing,Catholic
47,CA,19,Zoe Lofgren,D,Continuing,Lutheran
48,CA,20,Jimmy Panetta,D,Continuing,Catholic
49,CA,21,David Valadao,R,Freshman,Catholic
50,CA,22,Devin Nunes,R,Continuing,Catholic
51,CA,23,Kevin McCarthy,R,Continuing,Baptist
52,CA,24,Salud Carbajal,D,Continuing,Catholic
53,CA,25,Mike Garcia,R,Continuing,Protestant unspecified
54,CA,26,Julia Brownley,D,Continuing,Episcopalian
55,CA,27,Judy Chu,D,Continuing,Unitarian Universalist
56,CA,28,Adam B. Schiff,D,Continuing,Jewish
57,CA,29,Tony Cardenas,D,Continuing,Protestant unspecified
58,CA,30,Brad Sherman,D,Continuing,Jewish
59,CA,31,Pete Aguilar,D,Continuing,Catholic
60,CA,32,Grace F. Napolitano,D,Continuing,Catholic
61,CA,33,Ted Lieu,D,Continuing,Catholic
62,CA,34,Jimmy Gomez,D,Continuing,Catholic
63,CA,35,Norma J. Torres,D,Continuing,Catholic
64,CA,36,Raul Ruiz,D,Continuing,Adventist
65,CA,37,Karen Bass,D,Continuing,Baptist
66,CA,38,Linda T. Sanchez,D,Continuing,Catholic
67,CA,39,Young Kim,R,Freshman,Protestant unspecified
68,CA,40,Lucille Roybal-Allard,D,Continuing,Catholic
69,CA,41,Mark Takano,D,Continuing,Methodist
70,CA,42,Ken Calvert,R,Continuing,Episcopalian
71,CA,43,Maxine Waters,D,Continuing,Protestant unspecified
72,CA,44,Nanette Barragan,D,Continuing,Catholic
73,CA,45,Katie Porter,D,Continuing,Episcopalian
74,CA,46,Lou Correa,D,Continuing,Catholic
75,CA,47,Alan Lowenthal,D,Continuing,Jewish
76,CA,48,Michelle Steel,R,Freshman,Protestant unspecified
77,CA,49,Mike Levin,D,Continuing,Catholic
78,CA,50,Darrell Issa,R,Freshman,Orthodox
79,CA,51,Juan C. Vargas,D,Continuing,Catholic
80,CA,52,Scott Peters,D,Continuing,Lutheran
81,CA,53,Sara Jacobs,D,Freshman,Jewish
82,CA,Senator,Dianne Feinstein,D,Continuing,Jewish
83,CA,Senator,Kamala Harris,D,Continuing,Baptist
84,CO,1,Diana DeGette,D,Continuing,Presbyterian
85,CO,2,Joe Neguse,D,Continuing,Protestant unspecified
86,CO,3,Lauren Boebert,R,Freshman,Nondenominational
87,CO,4,Ken Buck,R,Continuing,Protestant unspecified
88,CO,5,Doug Lamborn,R,Continuing,Protestant unspecified
89,CO,6,Jason Crow,D,Continuing,Nondenominational
90,CO,7,Ed Perlmutter,D,Continuing,Protestant unspecified
91,CO,Senator,Michael Bennet,D,Continuing,Don't know/refused
92,CO,Senator,John Hickenlooper,D,Freshman,Episcopalian
93,CT,1,John B. Larson,D,Continuing,Catholic
94,CT,2,Joe Courtney,D,Continuing,Catholic
