congress_idx,text,King James Bible,American Standard Version,Douay-Rheims Bible,Darby Bible Translation,English Revised Version,Webster Bible Translation,World English Bible,Young's Literal Translation,American King James Version
2355866,"I thank the Energy Subcommittee chairman and the gentleman from California (Mr. Knight) for their initiatives in developing and managing this legislation, and I encourage my colleagues to support the bill.","I have shewed you all things, how that so labouring ye ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring ye ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","I have shewed you all things, how that so labouring you ought to support the weak, and to remember the word of the Lord Jesus, how he said: It is a more blessed thing to give, rather than to receive. ","I have shewed you all things, that thus labouring we ought to come in aid of the weak, and to remember the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.","In all things I gave you an example, how that so labouring ye ought to help the weak, and to remember the words of the Lord Jesus, how he himself said, It is more blessed to give than to receive.","I have shown you all things, that so laboring ye ought to support the weak, and to remember the words of the Lord Jesus, that he said, It is more blessed to give than to receive.","In all things I gave you an example, that so laboring you ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, 'It is more blessed to give than to receive.'|","all things I did shew you, that, thus labouring, it behoveth us to partake with the ailing, to be mindful also of the words of the Lord Jesus, that he himself said, It is more blessed to give than to receive.'","I have showed you all things, how that so laboring you ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive."
1369749,"I have been encouraged as a member of the House Judiciary Committee bipartisan task force on over-criminalization by the willingness of Democrats and Republicans, conservatives and progressives, to try to work together to solve this issue of a broken criminal justice system that we have got in America.",The LORD is nigh unto them that are of a broken heart; and saveth such as be of a contrite spirit.,"Jehovah is nigh unto them that are of a broken heart, And saveth such as are of a contrite spirit.",The Lord is nigh unto them that are of a contrite heart: and he will save the humble of spirit. ,"Jehovah is nigh to those that are of a broken heart, and saveth them that are of a contrite spirit.","The LORD is nigh unto them that are of a broken heart, and saveth such as be of a contrite spirit.",The LORD is nigh to them that are of a broken heart; and saveth such as are of a contrite spirit.,"Yahweh is near to those who have a broken heart, and saves those who have a crushed spirit.","Near is Jehovah to the broken of heart, And the bruised of spirit He saveth.",The LORD is near to them that are of a broken heart; and saves such as be of a contrite spirit.
2348490,We ought to have been focusing on that.,"Then Peter and the other apostles answered and said, We ought to obey God rather than men.","But Peter and the apostles answered and said, We must obey God rather than men.","But Peter and the apostles answering, said: We ought to obey God, rather than men. ","But Peter answering, and the apostles, said, God must be obeyed rather than men.","But Peter and the apostles answered and said, We must obey God rather than men.","Then Peter and the other apostles answered and said, We ought to obey God rather than men.","But Peter and the apostles answered, |We must obey God rather than men.","And Peter and the apostles answering, said, 'To obey God it behoveth, rather than men;","Then Peter and the other apostles answered and said, We ought to obey God rather than men."
40656,Yet everyone in the media is saying that is not happening.,He that is not with me is against me; and he that gathereth not with me scattereth abroad.,"He that is not with me is against me, and he that gathereth not with me scattereth.","He that is not with me, is against me: and he that gathereth not with me, scattereth. ","He that is not with me is against me, and he that gathers not with me scatters.",He that is not with me is against me; and he that gathereth not with me scattereth.,"He that is not with me, is against me; and he that gathereth not with me, scattereth abroad.","|He who is not with me is against me, and he who doesn't gather with me, scatters.","'He who is not with me is against me, and he who is not gathering with me, doth scatter.",He that is not with me is against me; and he that gathers not with me scatters abroad.
313960,Let me tell you about just one of them.,"Thine eyes did see my substance, yet being unperfect; and in thy book all my members were written, which in continuance were fashioned, when as yet there was none of them.","Thine eyes did see mine unformed substance; And in thy book they were all written, Even the days that were ordained for me , When as yet there was none of them.","Thy eyes did see my imperfect being, and in thy book all shall be written: days shall be formed, and no one in them. ","Thine eyes did see my unformed substance, and in thy book all my members were written; during many days were they fashioned, when as yet there was none of them.","Thine eyes did see mine unperfect substance, and in thy book were all my members written, which day by day were fashioned, when as yet there was none of them.","Thy eyes saw my substance, yet being imperfect; and in thy book all my members were written, which in continuance were fashioned, when as yet there was none of them.","Your eyes saw my body. In your book they were all written, the days that were ordained for me, when as yet there were none of them.","Mine unformed substance Thine eyes saw, And on Thy book all of them are written, The days they were formed &#8212; And not one among them.","Your eyes did see my substance, yet being imperfect; and in your book all my members were written, which in continuance were fashioned, when as yet there was none of them."
1631399,"Harbury has so focussed world opinion on past violent measures used by the Guatemalan armed forces in the face of terrorist assault, that the URNG has continued on its violent course today, with apparent impunity.","For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","Seeing it is God, that said, Light shall shine out of darkness, who shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God, in the face of Christ Jesus. ",Because it is the God who spoke that out of darkness light should shine who has shone in our hearts for the shining forth of the knowledge of the glory of God in the face of Jesus Christ.,"Seeing it is God, that said, Light shall shine out of darkness, who shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","For God, who commanded the light to shine out of darkness, hath shined into our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","seeing it is God who said, |Light will shine out of darkness,| who has shone in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.","because it is God who said, Out of darkness light is to shine, who did shine in our hearts, for the enlightening of the knowledge of the glory of God in the face of Jesus Christ.","For God, who commanded the light to shine out of darkness, has shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ."
2404840,Behind the scenes--behind that door right there--you know and I know we talk in a different way than we do when we are in front of the media.,"My sheep hear my voice, and I know them, and they follow me:","My sheep hear my voice, and I know them, and they follow me:","My sheep hear my voice: and I know them, and they follow me. ","My sheep hear my voice, and I know them, and they follow me;","My sheep hear my voice, and I know them, and they follow me:","My sheep hear my voice, and I know them, and they follow me:","My sheep hear my voice, and I know them, and they follow me.","according as I said to you: My sheep my voice do hear, and I know them, and they follow me,","My sheep hear my voice, and I know them, and they follow me:"
1385818,"The retirement program has historically been out of the reach of the credit card companies and the bankruptcy courts, the retirement savings.","Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.","Before I formed thee in the belly I knew thee, and before thou camest forth out of the womb I sanctified thee; I have appointed thee a prophet unto the nations.","Before I formed thee in the bowels of thy mother, I knew thee: and before thou camest forth out of the womb, I sanctified thee, and made thee a prophet unto the nations. ","Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I hallowed thee, I appointed thee a prophet unto the nations.","Before I formed thee in the belly I knew thee, and before thou camest forth out of the womb I sanctified thee; I have appointed thee a prophet unto the nations.","Before I formed thee in embryo I knew thee; and before thou wast born I sanctified thee, and I ordained thee a prophet to the nations.","|Before I formed you in the belly, I knew you. Before you came forth out of the womb, I sanctified you. I have appointed you a prophet to the nations.|","'Before I form thee in the belly, I have known thee; and before thou comest forth from the womb I have separated thee, a prophet to nations I have made thee.'","Before I formed you in the belly I knew you; and before you came forth out of the womb I sanctified you, and I ordained you a prophet to the nations."
176576,And I will give you an example why.,"A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh, and I will give you an heart of flesh.","A new heart also will I give you, and a new spirit will I put within you; and I will take away the stony heart out of your flesh, and I will give you a heart of flesh.","And I will give you a new heart, and put a new spirit within you: and I will take away the stony heart out of your flesh, and will give you a heart of flesh. ","And I will give you a new heart, and I will put a new spirit within you; and I will take away the stony heart out of your flesh, and I will give you a heart of flesh.","A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh, and I will give you art heart of flesh.","A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh, and I will give you a heart of flesh.","I will also give you a new heart, and I will put a new spirit within you; and I will take away the stony heart out of your flesh, and I will give you a heart of flesh.","And I have given to you a new heart, And a new spirit I give in your midst, And I have turned aside the heart of stone out of your flesh, And I have given to you a heart of flesh.","A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh, and I will give you an heart of flesh."
331908,"As for me and my house and the people of west Texas, we stand for life, which is why we oppose this.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve Jehovah.","But if it seem evil to you to serve the Lord, you have your choice: choose this day that which pleaseth you, whom you would rather serve, whether the gods which your fathers served in Mesopotamia, or the gods of the Amorrhites, in whose land you dwell: but as for me and my house we will serve the Lord. ","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods whom your fathers that were on the other side of the river served, or the gods of the Amorite, in whose land ye dwell; but as for me and my house, we will serve Jehovah.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seemeth evil to you to serve the LORD, choose you this day whom ye will serve, whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites in whose land ye dwell: but as for me and my house, we will serve the LORD.","If it seems evil to you to serve Yahweh, choose this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve Yahweh.|","and if wrong in your eyes to serve Jehovah &#8212; choose for you to-day whom ye do serve; &#8212; whether the gods whom your fathers served, which are beyond the River, or the gods of the Amorite in whose land ye are dwelling; and I and my house &#8212; we serve Jehovah.'","And if it seem evil to you to serve the LORD, choose you this day whom you will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve the LORD."
