,type,context
1367090,"proforma (god bless our troops)","military intervention in the future . again , i think it is the best option we face amongst a lot of bad options . may god bless our military personnel who will be in charge of carrying out this mission , and we all hope and pray for their success"
1732407,"inquote","as a scientific concept . '' bill mckibbon , author of `` the end of nature , '' proclaimed that `` it is not in god 's house that i feel his presence most -- it is in his outdoors . '' according to columnist alston chase , nearly all"
20907,"proforma (god forbid)","not provide basic benefits or financial protection standard and would return patients to the days when they would discover only when they get sick or god forbid get a cancer diagnosis that their plan imposes unreasonable limits on coverage and excludes vital benefits . they discriminate based on age ,"
1098622,"inquote","them really bugged me at times . but they all had a purpose and wisdom for how to lead a good life . `` one god , one country , one woman '' he used to say . that -- one woman -- was my mother . he was passionately"
2360040,"describing person's faith","as a constant , unwavering voice for the american heartland in the u.s. congress . her faith is important to her : her faith in god , her faith in her community , and her faith in our country . as a leader on the joint select committee on solvency"
1240641,"describing group's faith",", i rise to honor an extraordinary gospel group , the delta big four of lambert , mississippi . a group that believes in praising god in song . the members of the delta big four were nurtured in a christian home and taught the word of god . their"
1060737,"proforma (thank god)","every single day in this country we suffer the same results as we did at columbine high school -- not in one setting , thank god . across the country , on average , 12 or 13 people die every day in the united states as a result of gun"
1936562,"proforma (god forbid)","-- very troubled parts of the world -- produce a substantial portion of the oil we need for our economy to work . if , god forbid , one morning we woke up and terrorists had interrupted the pipeline of oil to our country from troubled parts of the world"
308125,"describing god blessing/saving","that lasted his entire life . he loved and was loved . his final days were difficult , but he slipped into the arms of god peacefully in his sleep and we are thankful . art was born on april 13 , 1942 , to marion veronica walsh ( nee"
909383,"asking god to bless/save",", and his sons ' greatest inheritance : the enduring example of a life well lived . may he rest in peace , and may god bless his family and the community he served -- it will never be the same without him . thank you ."
1980197,"proforma (god knows)","effort to revive this . people will say , wait a minute , those are the people who tell me not to do that . god knows what they 're going to ask me for the next time . for 30 years they told me they wanted this . now"
287965,"pledge of allegiance","i pledge allegiance to the flag of the united states of america , and to the republic for which it stands , one nation under god , indivisible , with liberty and justice for all ."
2175822,"proforma (god bless our troops)","these groups serve as a wonderful example of a community reaching out with compassion to offer hope to victims of crime . in conclusion , god bless our troops ."
1087314,"proforma (god bless)","freedom . i vehemently oppose the passage of china pntr , and will continue to fight on behalf of american laborers in the future . god bless america ."
2281154,"theological","life lost in africa may seem so distant and removed from our own lives but in some ways we are connected . we are all god 's children . we all believe this creator put us on earth for a purpose , and that purpose is to care for the"
1371802,"proforma (god bless)","the president and thank him for what he is doing , and i pray that we will get a fair hearing on h.r . 5407. god bless you , dear brother , and i pray that you will continue to do what you are doing on the floor of the"
855449,"proforma (god bless)","and making sure that our children and our children 's children had a chance to grow up in this most blessed of all places . god bless every american and hoosier veteran who served in vietnam . god bless their families . god bless indiana , and god bless america"
612955,"god's purpose for person","hosea 4:6 states , `` my people are destroyed for lack of knowledge . '' upon hearing those words , dr. banks knew immediately that god 's purpose for his life was to help spread knowledge of the gospel from an african american perspective . after founding urban ministries in"
125178,"describing group's faith","to cut their group , the most hardy . they got them on . they had the prayer meeting before they came . they asked god for guidance and protection , and they came across . they signed a beautiful compact that basically , in essence , said it 's"
391840,"proforma (so help you god)",", and that you will well and faithfully discharge the duties of the office on which you are about to enter . so help you god ."
1343176,"pledge of allegiance","i pledge allegiance to the flag of the united states of america , and to the republic for which it stands , one nation under god , indivisible , with liberty and justice for all ."
1164278,"proforma (god forbid)","hurricane irene as another excuse for a budget fight . and think about the precedent that sets . what happens if tomorrow there is , god forbid , a disaster in new mexico or a disaster in colorado ? does that mean we should be cutting education or environmental protection"
2093349,"proforma (god bless)",", and in my opinion part of that vision is an aggressive space program with men and women in space carrying the american flag . god bless our seven astronauts and their families , and god bless america ."
678496,"commentary on pledge","'s essay is that the language of the pledge of allegiance is the core values held by americans , that we are one nation under god , and that it should not be attacked by activist judges . i think she is right . madam speaker , it is my"
2345013,"asking god to bless/save","with weekly worship . mr. speaker , i pray for christ 's guidance as the congregation comes together in his name and fellowship . may god always bless mulberry baptist church as they continue to spread christ 's word and remain a light within the community ."
