Hwy. 5 Milan, Missouri 63556
P. O. Box 164 Menlo, Georgia 30731
6034 County Route 69 Canisteo, New York 14823
Highway 31 North Hanceville, Alabama 35077
2757 Morris Ave. Bronx, New York 10468
Rt. 3 Box 110A Ackerman, Mississippi 39735
110 Dillon St. Chesnee, South Carolina 29323
82 W 29th St Bayonne, New Jersey 07002
5901 Lisle Road Owego, New York 13827
19th &amp; Q ave. New Castle, Indiana 47362
27 Coffey St. Brooklyn, New York 11231
Black Mountain Black Mountain, North Carolina 22193
201 Lafayette Ave. Suffern, New York 10901
3307 Rutherford Rd. Taylors, South Carolina 29687
4216 Kildaire Farm Rd.  Apex, North Carolina 27540
875 Mill Rd Jamestown, New York 14701
PO Box 282 Reedsville, West Virginia 26547
2335-114 Presidential Drive Durham, North Carolina 27703
Hwy 287 Greenbrier, Arkansas 72058
KAYOLE-SOWETO NAIROBI, Ohio KE O1
Georgia Ave. West Palm Beach, Florida 33409
222 West Center St. Medina, New York 14103
270 Libbey Industrial Parkway Weymouth, Massachusetts 2189
212-C W Lafayette St. Maurice, Louisiana 70555
W 58th Street Cleveland, Ohio 44102
7 Central Street Newport, Rhode Island 02840
241 Bordentown/Chesterfield Rd. Bordentown, New Jersey 08505
8 W Farm Square Plaza Bronx, New York 10460
285 North Lane Grand Island, New York 14072
5576 Pittman Grove Church Road Raeford , North Carolina 28376
1401 Salem Church Road Elizabeth City, North Carolina 27909
3514 15th street NE Washington, District of Columbia 20017
3140  US Hwy 64 E Mocksville, North Carolina 27028
640 Plumtree Rd. Springfield, Massachusetts 1118
95-16 101st Ave., Jamaica, New York 11416
Oberry Road Mt. Olive, North Carolina 28567
3139 East Chestnut Ave Vineland, New Jersey 8361
markham longwood, Florida 32714
PO Box 719 Shrub Oak, New York 10588
208 Main St Middleton, Oklahoma B0S 1P0
U.S. Navy Ft Bliss, Texas 79916
Blue Jay Six Rd Cool Ridge, West Virginia 25825
3740 Boiling Springs Road Boiling Springs, South Carolina 29316
Box 464 Stephenville, California A2N 3A3
495 Watervliet-Shaker Rd. Latham, New York 12110
214-11 Jamaica Avenue Queens Village, New York 11428
PO Box129 Belle Mina, Alabama 35615
70-50 Austin St. Forest Hills, New York 11375
901 South Fifth St.  Santa Rosa, New Mexico 88435
PO Box 148 Turkey, North Carolina 28393
PO. Box 1271 Bismarck, North Dakota 58501
3403 Womble Hill Road Chesterfield, South Carolina 29709
494 Broadway Brooklyn, New York 11211
550 Eastside Avenue Parker, South Dakota 57053
East Main St. Prattville, Alabama 36066
4717 Hwy 66 Loris, South Carolina 29569
South Main Street West Brookfield, Massachusetts 01585
N\A N\A, Alabama N\A
PO BOX 624 Devils Lake, North Dakota 58301
Box 632 Presque Isle, Maine 04769
P.O.Box 1011 Pine Mountain, Georgia 31822
54 North Main St Holley, New York 14470
The Grove Community Church Riverside, California 92508
945Kinneyway Prosser, Washington 99350
p.o. Box 1595 Auburn, Alabama 36830
Bunell Rd Forest City, Florida 32803
101 Beaty Rd Belmont, North Carolina 28012
Third and Main Streets Newburg, Missouri 65550
Burma Rd Gosport, Indiana 47433
340 Main St. Islip, New York 11730
899 Hallelujah Rd. Ruby, South Carolina 29741
812 Fruit Avenue NW Albuquerque, New Mexico 87102
11121 S.Turnpike Rd Laurinburg, North Carolina 28353
12204 MacCorkle Avenue Chesapeake, West Virginia 25315
135-38 Rockaway Blvd South Ozone Park, New York 11420
BEAGLE PARK LOOP MADISONVILLE, Kentucky 42431
11 Chapel Street Sherburne, New York 13460
Viewcrest Ave Port Angeles, Washington 98362
804 Franklin Blvd Greensboro, North Carolina 27401
1527G.  Amherst Rd NE, Ohio 44646
110 Cambridge Ave. Jersey City, New Jersey 7307
Pine Lake Covenant Church Sammamish, Washington 98075
431 North Prospect St Herkimer, New York 13350
125 Lewisivlle-Clemmons Rd. Lewisville, North Carolina 27023
Huntington Ave. 23607, Virginia 23607
Rt. 4 Box 64 Bluefield, West Virginia 24701
Po Box 2454 Liverpool, New York 13089
304 High Rock Dr lexington , North Carolina 27292
West State Road 56 Salem, Indiana 47167
517 E John Street Matthews, North Carolina 28105
17939 N Preston Hwy Bruceton Mills, West Virginia 26525
1707 White Cross Road Chapel Hill, North Carolina 27516
Freedom Vally Road Alma, Arkansas 72936
7 Church Street Akron, New York 14001
Esplanade at 1st Av Chico, California 95926
827 Forest Ave Bronx, New York 10469
1st St. NW Choteau, Montana 59422
3 Nickerson Ave Middleborough, Massachusetts 2346
205 Thomas Street Newark, New Jersey 7114
Hanley Ln.  Frankfort, Kentucky 40601
HCR1 Box 104A Middlebrook , Missouri 63656
1814 Westchester Drive High point, North Carolina 27262
